asin,amazon_url
0399226907,https://www.amazon.com/dp/0399226907
0679805273,https://www.amazon.com/dp/0679805273
0140280197,https://www.amazon.com/dp/0140280197
1577314808,https://www.amazon.com/dp/1577314808
0553508784,https://www.amazon.com/dp/0553508784
0399255370,https://www.amazon.com/dp/0399255370
1572245379,https://www.amazon.com/dp/1572245379
0345538374,https://www.amazon.com/dp/0345538374
0439023521,https://www.amazon.com/dp/0439023521
014240733X,https://www.amazon.com/dp/014240733X
0545392551,https://www.amazon.com/dp/0545392551
1585424331,https://www.amazon.com/dp/1585424331
0545855721,https://www.amazon.com/dp/0545855721
0544580141,https://www.amazon.com/dp/0544580141
080101526X,https://www.amazon.com/dp/080101526X
0062397346,https://www.amazon.com/dp/0062397346
0804172706,https://www.amazon.com/dp/0804172706
1878257536,https://www.amazon.com/dp/1878257536
0062407805,https://www.amazon.com/dp/0062407805
0553520571,https://www.amazon.com/dp/0553520571
0310750628,https://www.amazon.com/dp/0310750628
0544824385,https://www.amazon.com/dp/0544824385
1250080401,https://www.amazon.com/dp/1250080401
0978440749,https://www.amazon.com/dp/0978440749
0545791324,https://www.amazon.com/dp/0545791324
0761187480,https://www.amazon.com/dp/0761187480
1450882560,https://www.amazon.com/dp/1450882560
1450874770,https://www.amazon.com/dp/1450874770
1940352649,https://www.amazon.com/dp/1940352649
0345539869,https://www.amazon.com/dp/0345539869
0735211736,https://www.amazon.com/dp/0735211736
0062457713,https://www.amazon.com/dp/0062457713
1682612384,https://www.amazon.com/dp/1682612384
0762459816,https://www.amazon.com/dp/0762459816
0310749697,https://www.amazon.com/dp/0310749697
1680223186,https://www.amazon.com/dp/1680223186
1433554712,https://www.amazon.com/dp/1433554712
1623157536,https://www.amazon.com/dp/1623157536
0310345863,https://www.amazon.com/dp/0310345863
0062404520,https://www.amazon.com/dp/0062404520
031075013X,https://www.amazon.com/dp/031075013X
0143129252,https://www.amazon.com/dp/0143129252
1426216904,https://www.amazon.com/dp/1426216904
1631581481,https://www.amazon.com/dp/1631581481
1510704841,https://www.amazon.com/dp/1510704841
1943451524,https://www.amazon.com/dp/1943451524
045149492X,https://www.amazon.com/dp/045149492X
1589255518,https://www.amazon.com/dp/1589255518
0545688868,https://www.amazon.com/dp/0545688868
162315216X,https://www.amazon.com/dp/162315216X
0679891153,https://www.amazon.com/dp/0679891153
141694737X,https://www.amazon.com/dp/141694737X
1878424319,https://www.amazon.com/dp/1878424319
1455570249,https://www.amazon.com/dp/1455570249
1492646318,https://www.amazon.com/dp/1492646318
1622038320,https://www.amazon.com/dp/1622038320
1943200106,https://www.amazon.com/dp/1943200106
1452111731,https://www.amazon.com/dp/1452111731
0062499556,https://www.amazon.com/dp/0062499556
1476753830,https://www.amazon.com/dp/1476753830
168022770X,https://www.amazon.com/dp/168022770X
1938093682,https://www.amazon.com/dp/1938093682
0761193626,https://www.amazon.com/dp/0761193626
0310345871,https://www.amazon.com/dp/0310345871
1629797634,https://www.amazon.com/dp/1629797634
1629797626,https://www.amazon.com/dp/1629797626
160433696X,https://www.amazon.com/dp/160433696X
0143130722,https://www.amazon.com/dp/0143130722
0143131664,https://www.amazon.com/dp/0143131664
0804190119,https://www.amazon.com/dp/0804190119
1501173219,https://www.amazon.com/dp/1501173219
1101904240,https://www.amazon.com/dp/1101904240
0762462876,https://www.amazon.com/dp/0762462876
1523501227,https://www.amazon.com/dp/1523501227
0545791340,https://www.amazon.com/dp/0545791340
0374533555,https://www.amazon.com/dp/0374533555
1433613816,https://www.amazon.com/dp/1433613816
1623159040,https://www.amazon.com/dp/1623159040
1524714623,https://www.amazon.com/dp/1524714623
1524771031,https://www.amazon.com/dp/1524771031
1250144051,https://www.amazon.com/dp/1250144051
1680225391,https://www.amazon.com/dp/1680225391
0310448565,https://www.amazon.com/dp/0310448565
078521237X,https://www.amazon.com/dp/078521237X
